"Job #","Borough","House #","Street Name","Block","Lot","Bin #","Job Type","Community - Board","Curb Cut","Fully Permitted","Initial Cost","Proposed Zoning Sqft","Horizontal Enlrgmt","Vertical Enlrgmt","Enlargement SQ Footage","Zoning Dist1","Job Description"
"200636437","BRONX","115","EAST MOSHOLU PARKWAY NORTH","03326","00001","2017719","A2","207",,"04/04/2002","$60000.00","0",,,"0","R7-1","REPLACE FIRE DAMAGED ROOF JOIST. REPAIR ROOF AND PARAPET IN THE FIRE DAMAGED AREA. IN THE 5TH FLOOR APARTMENTS REPAIR WALLS, CEILING, AND FLOORS. REPLACE BATH AND KITCHEN FIXTURES ON EXISTING ROUGHING. REPAIR VENT STACKS. NO CHANGE TO USE, EGRESS, NOR OCCUPANCY."
"200636437","BRONX","115","EAST MOSHOLU PARKWAY NORTH","03326","00001","2017719","A2","207",,"04/04/2002","$60000.00","0",,,"0","R7-1","REPLACE FIRE DAMAGED ROOF JOIST. REPAIR ROOF AND PARAPET IN THE FIRE DAMAGED AREA. IN THE 5TH FLOOR APARTMENTS REPAIR WALLS, CEILING, AND FLOORS. REPLACE BATH AND KITCHEN FIXTURES ON EXISTING ROUGHING. REPAIR VENT STACKS. NO CHANGE TO USE, EGRESS, NOR OCCUPANCY."
"200636437","BRONX","115","EAST MOSHOLU PARKWAY NORTH","03326","00001","2017719","A2","207",,"04/04/2002","$60000.00","0",,,"0","R7-1","REPLACE FIRE DAMAGED ROOF JOIST. REPAIR ROOF AND PARAPET IN THE FIRE DAMAGED AREA. IN THE 5TH FLOOR APARTMENTS REPAIR WALLS, CEILING, AND FLOORS. REPLACE BATH AND KITCHEN FIXTURES ON EXISTING ROUGHING. REPAIR VENT STACKS. NO CHANGE TO USE, EGRESS, NOR OCCUPANCY."
"200639513","BRONX","3623","GREYSTONE AVENUE","05771","00053","2083990","A1","208",,"12/18/2002","$70000.00","0",,,"0","R6","EXISTING 2 FAMILY DWELLING TO BE CONVERTED INTO A 3 FAMILY DWELLING. NEW KITCHEN, BATHROOM &amp; PARTITIONS TO BE INSTALLED AT LOWEST STORY. NEW SPRINKLER SYSTEM TO BE INSTALLED TO PROTECT PUBLIC HALL &amp; STAIRWAY. SECOND FLOOR APARTMENT TO BE REPAIRED AND REMODELLED."
"200639513","BRONX","3623","GREYSTONE AVENUE","05771","00053","2083990","A1","208",,"12/18/2002","$70000.00","0",,,"0","R6","EXISTING 2 FAMILY DWELLING TO BE CONVERTED INTO A 3 FAMILY DWELLING. NEW KITCHEN, BATHROOM &amp; PARTITIONS TO BE INSTALLED AT LOWEST STORY. NEW SPRINKLER SYSTEM TO BE INSTALLED TO PROTECT PUBLIC HALL &amp; STAIRWAY. SECOND FLOOR APARTMENT TO BE REPAIRED AND REMODELLED."
"200648077","BRONX","1357","WEBSTER AVENUE","02887","00162","2009306","A2","204",,"12/15/2000","$50000.00","0",,,"0",,"RENOVATE EXISTING EIGTH APARTMENTS BUILD ING,REPLACE EXISTING PLUMBING F XTURES AS SHOWN ON PLANS.NO CHANGE IN OC CUPANCY USE,OR EGRESS.INTERIOR WALLS CO ER WITH NEW SHEETROCK AND REPAINT ALL WA LLS."
"200648077","BRONX","1357","WEBSTER AVENUE","02887","00162","2009306","A2","204",,"12/15/2000","$50000.00","0",,,"0",,"RENOVATE EXISTING EIGTH APARTMENTS BUILD ING,REPLACE EXISTING PLUMBING F XTURES AS SHOWN ON PLANS.NO CHANGE IN OC CUPANCY USE,OR EGRESS.INTERIOR WALLS CO ER WITH NEW SHEETROCK AND REPAINT ALL WA LLS."
"200648077","BRONX","1357","WEBSTER AVENUE","02887","00162","2009306","A2","204",,"12/15/2000","$50000.00","0",,,"0",,"RENOVATE EXISTING EIGTH APARTMENTS BUILD ING,REPLACE EXISTING PLUMBING F XTURES AS SHOWN ON PLANS.NO CHANGE IN OC CUPANCY USE,OR EGRESS.INTERIOR WALLS CO ER WITH NEW SHEETROCK AND REPAINT ALL WA LLS."
"200650517","BRONX","3636","GREYSTONE AVENUE","05770","00069","2083967","A2","208",,"02/21/2001","$81000.00","0",,,"0","R6","Renovation of two existing Class 'A' apartments.  Work to include architectural and plumbing modifications as per plans filed herewith.  There will be no change to use, egress or occupancy."
"200650580","BRONX","1454","SHAKESPEARE AVENUE","02872","00111","2114226","A2","204",,"09/11/2002","$56000.00","0",,,"0","R7-1","INSTALLATION OF AUTOMATIC SPRINKLER SYST EM IN CONJUNCTION WITH CONSTRUC ION OF NEW 6-STORY J-2 APARTMENT BUILDIN G (FULLY SPRINKLERED UNDER THIS APPLICA ION.)"
